Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,0.0228108970080744,-0.000561788917999517,0.0331105506812299,0,0,0,1.31960509138415,0.00312181926824079,-5.03100609710685E-06,-1.29443545489663E-05,0.0038554317386189,-7.75159199175596E-06,0.00662446922629405,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Baselink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Baselink.STL,,Baseplate2.1-1;Baseplate2.2-1;Dockingf-1;Dokingm-1;drive_motor_mount_v2 (1)-2;STS3215_03a v1-1;Baseplate1-1;Baseplate1-2;105motormount-2;servoFeetechSTS3095-2;105motormount-1;servoFeetechSTS3095-1,Baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Bubleft,-0.000772222528972046,-1.4898008240255E-08,0.0144402391383288,0,0,0,0.0541320948471737,1.9153591360639E-05,1.05076891250516E-11,1.29770853899577E-06,4.63922160357353E-05,1.2606080458491E-11,4.32236807688341E-05,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Bubleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Bubleft.STL,,Hip_105kg-2,Bubleft,Joint1_left,Bubleft,revolute,0.04025,-0.14005,0.0159,1.5707963267949,0,-1.5707963267949,Baselink,0,0,1,0,0,0,0,,,,,,,,
Hipleft,-0.000270081557997293,-0.0684560993055164,0.0028626889211561,0,0,0,0.318234408091769,0.000267811204266692,3.11914095953246E-06,4.88817409078695E-07,0.000174267837279053,-1.00379998284168E-05,0.00017802683796978,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Hipleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Hipleft.STL,,servoFeetechSTS3095-3;Hip+twist_105kg(2)-1;Twist30kg-2;STS3215_03a v1.step-1,Hipleft,Joint2_left,Hipleft,revolute,0.000299999999999998,0,0.03995,0,1.5707963267949,0,Bubleft,0,0,1,0,0,0,0,,,,,,,,
Kneeleft,4.53232767438361E-05,-0.0743268502837562,0.000464653410863155,0,0,0,0.321584635989643,0.000413517962210184,-1.1556352005471E-12,2.83786074294175E-12,0.000169644385414367,-3.45699427258965E-08,0.000328712219864248,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Kneeleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Kneeleft.STL,,servoFeetechSTS3095-6;Knee105+30kg-2;STS3215_03a v1-4,Kneeleft,Joint3_left,Kneeleft,revolute,9.99999999999751E-05,-0.1851,0.00419999999999984,0,0,0,Hipleft,0,0,1,0,0,0,0,,,,,,,,
Footleft,0.0366739746986923,-0.0173790624296392,0.000213862523254674,0,0,0,0.213822723684556,0.000122852397918318,-6.57031342432722E-05,7.51393483020317E-08,0.000270815082048137,4.99178931240558E-09,0.000254522196916082,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Footleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Footleft.STL,,Foot30kg-2;Jaw30kg-1;STS3215_03a v1-6,Footleft,Joint4_left,Footleft,revolute,-9.99999999999196E-05,-0.1709,-0.00055000000000005,0,0,0,Kneeleft,0,0,1,0,0,0,0,,,,,,,,
Bubright,0.000772222528972022,1.48980082367856E-08,0.0144402391383288,0,0,0,0.0541320948471737,1.91535913606391E-05,1.05076891164341E-11,-1.29770853899576E-06,4.63922160357354E-05,-1.26060804609872E-11,4.32236807688341E-05,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Bubright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Bubright.STL,,Hip_105kg-1,Budright,Joint1_right,Bubright,revolute,0.0402500000000001,0.13995,0.0159,1.5707963267949,0,-1.5707963267949,Baselink,0,0,1,0,0,0,0,,,,,,,,
Hipright,-0.000405092555900308,-0.0684560755966682,-0.00286270745992134,0,0,0,0.318234889909563,0.000267811380487872,3.11898839144832E-06,-4.88860066637238E-07,0.000174268008727696,1.00382672886604E-05,0.000178026829294935,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Hipright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Hipright.STL,,Hip+twist_105kg-1;servoFeetechSTS3095-4;Twist30kg-1;STS3215_03a v1-2,Hipright,Joint2_right,Hipright,revolute,-0.000299999999999967,0,0.0399500000000008,0,1.5707963267949,0,Bubright,0,0,-1,0,0,0,0,,,,,,,,
Kneeright,-4.53232767438499E-05,-0.0743268502837559,-0.00032896190698839,0,0,0,0.321584635989642,0.000413517962210183,1.1556351269221E-12,2.83786072026751E-12,0.000169644385414367,3.45699427260068E-08,0.000328712219864248,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Kneeright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Kneeright.STL,,servoFeetechSTS3095-5;Knee105+30kg-1;STS3215_03a v1-3,Kneeright,Joint3_right,Kneeright,revolute,-9.99999999999196E-05,-0.1851,-0.00419999999999993,0,0,0,Hipright,0,0,-1,0,0,0,0,,,,,,,,
Footright,0.0366739750369883,-0.0172788985778793,0.000213862492401851,0,0,0,0.213822726115051,0.000122852400084898,-6.57031359502892E-05,7.51393450167175E-08,0.000270815087500778,4.99163495568268E-09,0.000254522201690246,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Footright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Transformer.SLDASM/meshes/Footright.STL,,Foot30kg-1;STS3215_03a v1-5;Jaw30kg-2,Footright,Joint4_right,Footright,revolute,9.99999999998918E-05,-0.1709,0.000449999999999839,0,0,0,Kneeright,0,0,-1,0,0,0,0,,,,,,,,
